Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,formatted_address
Cardinal Medeiros Manor,Roxbury,02125,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Private,Y,Y,"11 Woodcliff St, Boston, MA 02125, United States"
Caritas Centre St,Dorchester,02122,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"289 Centre St, Dorchester, MA 02122, United States"
Caritas Centre St. II,Dorchester,02124,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,"289 Centre St, Dorchester, MA 02122, United States"
Caritas SRO Refinance,Dorchester,02125,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,"28 Mt Pleasant Ave, Boston, MA 02119, United States"
Carlton House AKA: Forward Inc. rental,Jamaica Plain,02119,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,,"2055 Columbus Ave, Roxbury, MA 02119, United States"
Carlton Wharf,East Boston,02128,30,0,30,0.0,0.0,0.0,30,0,30.0,Ownership,Private,,,"99-111 Summer St, Boston, MA 02128, United States"
Carol Ave. Limited Coop,Brighton,02135,33,33,0,9.0,9.0,0.0,24,24,0.0,Rental,Private,,,"Carol Ave, Boston, MA 02135, USA"
Carroll (VUP),Roxbury,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"88 E Concord St 5th floor, Boston, MA 02118, United States"
Carvalho (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"543 Southern Artery, Quincy, MA 02169, United States"
Cary Cottage,Roxbury,02119,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,,"34 Parker St, Chelsea, MA 02150, United States"
Casa Familias Unidas,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"302 Eustis St, Boston, MA 02119, United States"
Casa Maria,North End,02113,84,84,0,0.0,0.0,0.0,84,84,0.0,Rental,Private,Y,Y,"130 Endicott St, Boston, MA 02113, United States"
Casa Nueva Vida,Jamaica Plain,02130,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,"53 Glen Rd, Boston, MA 02130, United States"
Casas Borinquen,South End,02118,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,Y,"405 Shawmut Ave, Boston, MA 02118, United States"
Cass House,Roxbury,02121,111,111,0,0.0,0.0,0.0,111,111,0.0,Rental,Private,,,
Castle Square,South End,02116,500,500,0,0.0,0.0,0.0,500,500,0.0,Rental,Private,,Y,"484 Tremont St, Boston, MA 02116, United States"
Cathedral (2-6),South End,02118,414,414,0,0.0,0.0,0.0,414,414,0.0,Rental,Public,,,"1400 Washington St, Boston, MA 02118, United States"
CATHERINE H GALLAGHER COOPERATIVE HOUSING,Jamaica Plain,02130,34,34,0,0.0,0.0,0.0,34,34,0.0,Rental,Private,,Y,"209 Heath St, Jamaica Plain, MA 02130, United States"
Ceinture (20 W Fifth),South Boston,02127,54,0,54,44.0,0.0,44.0,10,0,10.0,Ownership,Private,,,
Central Boston Elder Services,Roxbury,02119,57,57,0,0.0,0.0,0.0,57,57,0.0,Rental,Private,Y,,"2315 Washington St, Boston, MA 02119, United States"
Centre/Lamartine,Jamaica Plain,02130,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,,"Centre St & Lamartine St, Boston, MA 02130, USA"
Ceylon Field Apts (orig p/o Parkchester 98u),Dorchester,02121,66,66,0,0.0,0.0,0.0,66,66,0.0,Rental,Private,,,"288 Columbia Rd, Boston, MA 02121, United States"
Chaisson (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"7 Sachem St, Boston, MA 02120, United States"
Channel View Condominiums,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,"35 Channel Center St, Boston, MA 02210, United States"
Channel Wharf,South Boston,02127,45,0,45,40.0,0.0,40.0,5,0,5.0,Ownership,Private,,,"1 Black Falcon Ave, Boston, MA 02210, United States"
Chapman House,East Boston,02128,30,30,0,22.0,22.0,0.0,8,8,0.0,Rental,Private,,,"61 Eutaw St, Boston, MA 02118, United States"
Charlame Park Homes 2A&B,Roxbury,02121,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,Y,"28 N Charlame Ct, Roxbury, MA 02119, United States"
Charlame Park Homes I,Roxbury,02119,92,92,0,0.0,0.0,0.0,92,92,0.0,Rental,Private,,Y,"28 N Charlame Ct, Roxbury, MA 02119, United States"
Charles Newtowne Cooperative,Charlestown,02129,262,262,0,0.0,0.0,0.0,262,262,0.0,Rental,Private,,Y,
Charles Street Gardens,Charlestown,02129,21,0,21,14.0,0.0,14.0,7,0,7.0,Ownership,Private,,,"Charles St, Boston, MA 02129, USA"
Charlesbank Cooperative Corporation,Mission Hill,02120,276,0,276,274.0,0.0,274.0,2,0,2.0,Cooperative,Private,,,"650 Huntington Ave, Boston, MA 02115, United States"
Charlestown (2-1),Charlestown,02129,1100,1100,0,0.0,0.0,0.0,1100,1100,0.0,Rental,Public,,,"2 US-1, Revere, MA 02151, USA"
Charlestown Elderly,Charlestown,02129,42,42,0,0.0,0.0,0.0,42,42,0.0,Rental,Private,Y,,"100 Ferrin St, Charlestown, MA 02129, United States"
Charlestown Navy Yard Row Houses,Charlestown,02129,50,0,50,34.0,0.0,34.0,16,0,16.0,Ownership,Private,,,"1st Ave &, 3rd St, Boston, MA 02129, United States"
Charlesview Apartments,Brighton,02135,260,240,20,20.0,20.0,0.0,240,220,20.0,Rental,Private,,Y,"Litchfield St, Boston, MA 02134, United States"
Chauncy House,Downtown,02111,87,87,0,0.0,0.0,0.0,87,87,0.0,Rental,Private,Y,Y,"115 Chauncy St #1740, Boston, MA 02111, United States"
Cheriton Grove,West Roxbury,02132,70,70,0,7.0,7.0,0.0,63,63,0.0,Rental,Private,Y,Y,"20 Cheriton Rd, West Roxbury, MA 02132, United States"
Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,02130,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Chestnut Ave, Boston, MA 02130, USA"
Chestnut Hill Gardens,Brighton,02135,36,0,36,32.0,0.0,32.0,4,0,4.0,Ownership,Private,,,"Chestnut Hill Ave, Boston, MA 02135, USA"
Chestnut Hill Park,Brighton,02135,47,0,47,45.0,0.0,45.0,2,0,2.0,Ownership,Private,,,"Chestnut Hill Ave, Massachusetts, USA"
Chestnut Hill Waterworks,Brighton,02135,108,0,108,97.0,0.0,97.0,11,0,11.0,Ownership,Private,,,"2450 Beacon St, Chestnut Hill, MA 02467, United States"
Cheverus School Apts,East Boston,02128,48,48,0,1.0,1.0,0.0,47,47,0.0,Rental,Private,Y,,"10 Moore St, Boston, MA 02128, United States"
Chinagate Apartments,Chinatown,02111,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,Y,"660 Washington St, Boston, MA 02111, United States"
Church St SRO,Dorchester,02122,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"31 Germania St, Jamaica Plain, MA 02130, United States"
City Square Elderly Housing,Charlestown,02129,120,120,0,1.0,1.0,0.0,119,119,0.0,Rental,Private,Y,Y,"42 Park St, Charlestown, MA 02129, United States"
Clarendon Square,South End,02116,60,0,60,51.0,0.0,51.0,9,0,9.0,Ownership,Private,,,"Clarendon St, Boston, MA 02116, USA"
Clarendon-Warren Condominium,South End,02116,31,0,31,21.0,0.0,21.0,10,0,10.0,Ownership,Private,,,"400 Stuart St, Boston, MA 02116, United States"
Cleaves Court Apts,Jamaica Plain,02119,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,,"Cleaves St, Boston, MA 02119, USA"
Cliffmont Condominium,Roslindale,02131,90,0,90,89.0,0.0,89.0,1,0,1.0,Ownership,Private,,,"1 Cliffmont St, Boston, MA 02131, United States"
CNY - Harborview Point (Parcel 4),Charlestown,02129,224,224,0,203.0,203.0,0.0,21,21,0.0,Rental,Private,,,
Codman Commons,Dorchester,02124,28,0,28,11.0,0.0,11.0,17,0,17.0,Ownership,Private,,,"Codman Commons, 360 Talbot Ave, Boston, MA 02124, USA"
Codman Square Apts (2-51),Dorchester,02124,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Public,Y,,"587 Washington St, Boston, MA 02124, United States"
Collins (Margaret) Apts (2-26),Jamaica Plain,02130,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Public,Y,,
Columbia Road/Lighthouse,Dorchester,02125,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,"735 Columbia Rd, Boston, MA 02125, United States"
Columbia West,Dorchester,02125,57,57,0,0.0,0.0,0.0,57,57,0.0,Rental,Private,,,"392 Columbia Rd #10, Dorchester, MA 02125, United States"
Columbia-Wood Apartments,Dorchester,02121,49,49,0,1.0,1.0,0.0,48,48,0.0,Rental,Private,,Y,"392 Columbia Rd #10, Dorchester, MA 02125, United States"
Comaven Apartments,Allston,02134,89,89,0,0.0,0.0,0.0,89,89,0.0,Rental,Private,,Y,"1144-1160 Commonwealth Ave, Boston, MA 02134, United States"
Commerce Apartments,Jamaica Plain,02130,60,60,0,0.0,0.0,0.0,60,60,0.0,Rental,Private,,,"376 Warren St, Boston, MA 02119, United States"
"Commonwealth (2-82,-95,-96,-97)",Brighton,02135,394,394,0,0.0,0.0,0.0,394,394,0.0,Rental,Public,Y,,
Commonwealth Housing,Allston,02134,118,118,0,0.0,0.0,0.0,118,118,0.0,Rental,Private,,Y,"1144-1160 Commonwealth Ave, Boston, MA 02134, United States"
Concord Houses,South End,02118,181,181,0,10.0,10.0,0.0,171,171,0.0,Rental,Private,Y,,"725 Tremont St, Boston, MA 02118, United States"
Concord St. Elder Housing,South End,02118,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,Y,"725 Tremont St, Boston, MA 02118, United States"
Condor-Havre Garden Apartments,East Boston,02128,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,"54 Orleans St # 1, East Boston, MA 02128, United States"
Continuum (Barry's Corner),Allston,02134,325,325,0,283.0,283.0,0.0,42,42,0.0,Rental,Private,,,"219 Western Ave, Allston, MA 02134, United States"
Conway Court,Roslindale,02131,28,28,0,0.0,0.0,0.0,28,28,0.0,Rental,Private,,,"1 Conway St, Roslindale, MA 02131, United States"
Coppersmith Village Ownership,East Boston,02128,15,0,15,7.0,0.0,7.0,8,0,8.0,Ownership,Private,,,"99 Border St, Boston, MA 02128, United States"
Coppersmith Village Rental,East Boston,02128,56,56,0,15.0,15.0,0.0,41,41,0.0,Rental,Private,,,"99 Border St, Boston, MA 02128, United States"
Cortes Street SRO,Bay Village,02116,41,41,0,1.0,1.0,0.0,40,40,0.0,Rental,Private,,,"Cortes St, Boston, MA 02116, USA"
Costello Homes,South Boston,02127,15,0,15,7.0,0.0,7.0,8,0,8.0,Ownership,Private,,,"519 Tremont St, Boston, MA 02116, United States"
Cote Village Townhomes,Mattapan,02126,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,"820 Cummins Hwy, Mattapan, MA 02126, United States"
Cottage Brook Apartments,Roxbury,02125,147,147,0,0.0,0.0,0.0,147,147,0.0,Rental,Private,,Y,"622 Dudley St, Boston, MA 02125, United States"
Council of Elders,Roxbury,02119,145,145,0,1.0,1.0,0.0,144,144,0.0,Rental,Private,Y,Y,"2055 Columbus Ave, Boston, MA 02119, United States"
Court St SRO,Downtown,02108,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,,"Court St, Boston, MA 02108, USA"
Courtyard at Cedar Grove,Dorchester,02124,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,"Fellsway St &, Milton St, Dorchester, MA 02124, United States"
Covenant House 202,Brighton,02135,242,242,0,1.0,1.0,0.0,241,241,0.0,Rental,Private,Y,Y,"30 Washington St, Boston, MA 02135, United States"
Cox Building,Roxbury,02119,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,Y,"Bartlett St &, Dudley St, Boston, MA 02119, United States"
Crawford House Apts,Roxbury,02121,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,Y,"86 Crawford St, Dorchester, MA 02121, United States"
Creighton Commons Condominiums,Jamaica Plain,02130,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,"241 Perkins St, Boston, MA 02130, United States"
Crittenton Hastings House,Brighton,02135,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,,,"504 Dudley St, Roxbury, MA 02119, United States"
Cummins Towers,Roslindale,02131,239,239,0,59.0,59.0,0.0,180,180,0.0,Rental,Private,,,"855 American Legion Hwy, Roslindale, MA 02131, United States"
D4 Police Station,South End,02136,26,0,26,24.0,0.0,24.0,2,0,2.0,Ownership,Private,,,"650 Harrison Ave, Boston, MA 02118, United States"
Dacia Residence at Beauford Green,Roxbury,02125,29,0,29,0.0,0.0,0.0,29,0,29.0,Ownership,Private,,,
Danube Apartments,Dorchester,02121,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,Y,"Boston, MA 02124, United States"
DaRosa (VUP),Dorchester,02122,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,
Dartmouth Hotel,Charlestown,02129,71,71,0,7.0,7.0,0.0,64,64,0.0,Rental,Private,,,"39 Zeigler St, Boston, MA 02119, United States"
DARTMOUTH TCB,Roxbury,02118,83,83,0,0.0,0.0,0.0,83,83,0.0,Rental,Private,,,"185 Dartmouth St 9th floor, Boston, MA 02116, United States"
Davenport Commons,Roxbury,02120,60,0,60,48.0,0.0,48.0,12,0,12.0,Ownership,Private,,,"Davenport Commons A, 700 Columbus Ave, Boston, MA 02120, USA"
Davis (VUP),Roxbury,02125,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,
Davison (2-34),Hyde Park,02136,47,47,0,1.0,1.0,0.0,46,46,0.0,Rental,Public,Y,,
DeMarco (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Derne Street Lodging Home,Beacon Hill,02114,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,"Derne St, Boston, MA 02114, USA"
Dexter Building,Downtown,02111,58,0,58,57.0,0.0,57.0,1,0,1.0,Ownership,Private,,,"453 Washington St, Boston, MA 02111, United States"
DiGirolamo (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Dillon (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"955 Boylston St, Boston, MA 02115, United States"
Dimock-Bragdon Apartments,Jamaica Plain,02119,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Private,Y,Y,"27 Dimock St, Boston, MA 02119, United States"
Dirigo Spice Building,South Boston,02127,17,0,17,16.0,0.0,16.0,1,0,1.0,Ownership,Private,,,
Disilvio (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Distillery Project Phase I,South Boston,02127,28,28,0,24.0,24.0,0.0,4,4,0.0,Rental,Private,,,"383 Dorchester Ave, Boston, MA 02127, United States"
Ditson St Senior Housing,Dorchester,02122,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,,"25 Ditson St, Dorchester, MA 02122, United States"
DNA Lofts,Dorchester,02125,59,0,59,51.0,0.0,51.0,8,0,8.0,Ownership,Private,,,"944 Dorchester Ave, Boston, MA 02125, United States"
Domicilia I & II,Dorchester,02122,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,Y,Y,
Domicilia III,Jamaica Plain,02130,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,Y,
Dorchester House,Dorchester,02122,91,91,0,0.0,0.0,0.0,91,91,0.0,Rental,Private,Y,Y,"1353 Dorchester Ave, Dorchester, MA 02122, United States"
Douglas Park,Roxbury,02118,166,166,0,36.0,36.0,0.0,130,130,0.0,Rental,Private,,,"Douglass Park, Boston, MA 02118, USA"
Dover Lofts,South End,02118,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,"135 E Berkeley St, Boston, MA 02118, United States"
Drayton Homes,Dorchester,02125,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,,"Drayton Ave, Boston, MA 02125, USA"
Dudley Greenville,Roxbury,02119,43,43,0,0.0,0.0,0.0,43,43,0.0,Rental,Private,,,"225 Dudley St, Roxbury, MA 02119, United States"
Dudley Street Apts,Roxbury,02119,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,,"225 Dudley St, Roxbury, MA 02119, United States"
Dudley Terrace,Dorchester,02125,56,56,0,2.0,2.0,0.0,54,54,0.0,Rental,Private,,,"Dudley Terrace, Boston, MA 02125, USA"
Dudley Village Phase I (North),Dorchester,02125,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,
Dudley Village Phase II (South),Dorchester,02125,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,,
Dumas|Mascot Neighborhood Homes,Dorchester,02124,7,3,4,2.0,1.0,1.0,5,2,3.0,Ownership/Rental,Private,,,
Dunmore Place,Roxbury,02119,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"Dunmore St, Boston, MA 02119, USA"
Dwight St Apts,South End,02118,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"55 Traveler St, Boston, MA 02118, United States"
Eagle Hill Rehab,East Boston,02128,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,,"52 White St, Boston, MA 02128, United States"
East Berkeley Street,South End,02118,35,11,24,12.0,0.0,12.0,23,11,12.0,Ownership/Rental,Private,,,"E Berkeley St, Boston, MA 02118, USA"
East Canton St Apts,South End,02118,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,Y,Y,"109 E Canton St, Boston, MA 02118, United States"
East Springfield/Northampton Streets,South End,02118,10,0,10,1.0,0.0,1.0,9,0,9.0,Ownership,Private,,,"35 Northampton St, Boston, MA 02118, United States"
Ebenezer Homes,South End,02118,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,Y,Y,"The Courtyard By Marriot, 63R Boston St, Boston, MA 02125, United States"
"Echelon (Seaport Square Block M) Towers 1, 2, and 3",South Boston Waterfront,02127,717,270,447,689.0,246.0,443.0,28,24,4.0,Ownership/Rental,Private,,,"133, 135 Seaport Blvd, Boston, MA 02210, United States"
Edison Green,Dorchester,02125,95,95,0,1.0,1.0,0.0,94,94,0.0,Rental,Private,Y,Y,"Edison Green, Boston, MA 02125, USA"
Edson|Peacevale NHI,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Edson St, Boston, MA 02124, USA"
Edson|Peacevale NHI (30 Milton),Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Rental,Private,,,
Edward Everett Square,Dorchester,02125,6,0,6,4.0,0.0,4.0,2,0,2.0,Ownership,Private,,,"256 Boston St, Dorchester, MA 02125, United States"
Egleston Crossing,Roxbury,02119,64,64,0,1.0,1.0,0.0,63,63,0.0,Rental,Private,,,"2010 Columbus Ave, Roxbury, MA 02119, United States"
Eleven West (Lechmore Point),South Boston,02127,50,50,0,44.0,44.0,0.0,6,6,0.0,Rental,Private,,,
Elizabeth Stone House - Washington Westminster,Roxbury,02119,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,,,"3012 Washington St, Roxbury, MA 02119, United States"
Elm Hill/Seaver St Conversion,Roxbury,02121,18,18,0,15.0,15.0,0.0,3,3,0.0,Rental,Private,,,"Boston, MA 02121, United States"
Elven Road,Roslindale,02131,8,3,5,0.0,0.0,0.0,8,3,5.0,Ownership/Rental,Private,,,"Elven Rd, Boston, MA 02131, USA"
Emerson Place - Charles River Park,West End,02114,320,320,0,284.0,284.0,0.0,36,36,0.0,Rental,Private,,,"1 Emerson Pl Apt 8N, Boston, MA 02114, United States"
Epps (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Erie-Ellington Homes,Dorchester,02121,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,,,"31 Erie St, Boston, MA 02121, United States"
Esperanza Walnut,Roxbury,02119,42,42,0,0.0,0.0,0.0,42,42,0.0,Rental,Private,,Y,"80-84 Walnut Ave, Boston, MA 02119, United States"
ETC Associates,South End,02118,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,,Y,"630 Tremont St, Boston, MA 02118, United States"
Eutaw/Meridian,East Boston,02128,1,0,1,0.0,0.0,0.0,1,0,1.0,Rental,Private,,,"Eutaw St & Meridian St, Boston, MA 02128, USA"
Eva White (2-41),South End,02116,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Public,Y,,
Factory 63,South Boston Waterfront,02127,62,62,0,51.0,51.0,0.0,11,11,0.0,Rental,Private,,,"63 Melcher St, Boston, MA 02210, United States"
Fairfield Properties,Roxbury,02119,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,,"219 Newbury St, Boston, MA 02116, United States"
Fairmount/Garfield (200-5),Hyde Park,02136,202,202,0,0.0,0.0,0.0,202,202,0.0,Rental,Public,,,
Fan Pier Parcel C,South Boston Waterfront,02110,108,0,108,106.0,0.0,106.0,2,0,2.0,Ownership,Private,,,"Fan Pier Boulevard, Boston, MA 02110, USA"
Fan Pier Parcel D,South Boston Waterfront,02210,120,0,120,116.0,0.0,116.0,4,0,4.0,Ownership,Private,,,"10 Fan Pier Boulevard Mailbox #26, Boston, MA 02210, United States"
Faneuil/ N. Beacon (200-4),Brighton,02135,256,256,0,0.0,0.0,0.0,256,256,0.0,Rental,Public,,,"200 N Beacon St, Boston, MA 02135, USA"
Farnsworth House,Jamaica Plain,02130,76,76,0,1.0,1.0,,75,75,0.0,Rental,Private,Y,Y,"90 South St, Jamaica Plain, MA 02130, United States"
Father Walter J Martin Cooperative Homes,South Boston,02127,34,34,0,0.0,0.0,0.0,34,34,0.0,Rental,Private,,,
FDIC Scattered Site Condo Project,Brighton,02135,9,4,5,0.0,0.0,0.0,9,4,5.0,Ownership/Rental,Private,,,
Fensgate Coop,Fenway,02115,46,46,0,0.0,0.0,0.0,46,46,0.0,Cooperative,Private,,,
Fenway Center Phase 1/Buildings 1 & 2,Fenway,02215,316,316,0,289.0,289.0,0.0,27,27,0.0,Rental,Private,,,"Fenway Center, 77 St Stephen St, Boston, MA 02115, USA"
Fenway Condominiums,Fenway,02115,55,55,0,33.0,33.0,0.0,22,22,0.0,Rental,Private,,,"41-43 Westland Ave, Boston, MA 02115, United States"
Fenway Condos,Fenway,02215,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,"108 Peterborough St, Boston, MA 02215, United States"
Fenwick Gardens - Home Again,Dorchester,02125,15,1,14,0.0,0.0,0.0,15,1,14.0,Ownership/Rental,Private,,,
Fernald State School (689-?),Dorchester,02125,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,,
Fieldstone Apartments,Dorchester,02124,84,84,0,0.0,0.0,0.0,84,84,0.0,Rental,Private,,Y,"907 Blue Hill Avenue # 13, Dorchester Center, MA 02124, United States"
First & First (Phase I & II),South Boston,02127,47,0,47,20.0,0.0,20.0,27,0,27.0,Ownership,Private,,,"E 1st St, Boston, MA 02127, United States"
Florence Apartments,Roslindale,02131,138,138,0,3.0,3.0,0.0,135,135,0.0,Rental,Private,,Y,"132 Fawndale Rd, Roslindale, MA 02131, United States"
Foley (William J) Apts (2-30),South Boston,02127,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Public,Y,,
Forbes Building,Jamaica Plain,02130,147,147,0,0.0,0.0,0.0,147,147,0.0,Rental,Private,Y,Y,"545 Centre St, Jamaica Plain, MA 02130, United States"
Forbes Street Residences,Jamaica Plain,02130,35,0,35,29.0,0.0,29.0,6,0,6.0,Ownership,Private,,,"545 Centre St, Jamaica Plain, MA 02130, United States"
Ford (VUP),Mattapan,02126,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"26 Seyon St, Waltham, MA 02453, United States"
Forecaster Building,West End,02114,80,0,80,73.0,0.0,73.0,7,0,7.0,Ownership,Private,,,"121 Portland St, Boston, MA 02114, United States"
Forest Glenn Coop,Jamaica Plain,02130,13,13,0,0.0,0.0,0.0,13,13,0.0,Cooperative,Private,,,"106 Forest Hills St, Jamaica Plain, MA 02130, United States"
Forest Hills Apts,Jamaica Plain,02130,108,108,0,9.0,9.0,0.0,99,99,0.0,Rental,Private,Y,Y,"95 Hyde Park Ave, Boston, MA 02130, United States"
Forest Hills Cooperative,Jamaica Plain,02130,87,87,0,0.0,0.0,0.0,87,87,0.0,Cooperative,Private,Y,Y,"199 Forest Hills St, Boston, MA 02130, United States"
Forest|Vine NHI 1,Roxbury,02119,5,2,3,0.0,0.0,0.0,5,2,3.0,Ownership/Rental,Private,,,
Forest|Vine NHI 2,Roxbury,02119,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,
Fort Hill Gardens,Roxbury,02119,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,,Y,"Fort Ave, Boston, MA 02119, USA"
Fort Point Place,South Boston Waterfront,02210,117,0,117,103.0,0.0,103.0,14,0,14.0,Ownership,Private,,,"Fort Point, Boston, MA, USA"
Foster (VUP),Roxbury,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"150 S Huntington Ave Suite 3c 11, Jamaica Plain, MA 02130, United States"
Fountain Hill,Roxbury,02119,46,0,46,26.0,0.0,26.0,20,0,20.0,Ownership,Private,,,"Fountain St, Boston, MA 02119, USA"
Four Corners/Washington,Dorchester,02121,35,35,0,0.0,0.0,0.0,35,35,0.0,Rental,Private,,,"345 Washington St # 1, Dorchester, MA 02121, United States"
Fox Hall,Dorchester,02125,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,"100 Pawtucket St, Lowell, MA 01854, United States"
"Franklin Field Family (2-89A,90-93)",Dorchester,02124,346,346,0,0.0,0.0,0.0,346,346,0.0,Rental,Public,Y,,
Franklin Field South/Highland Pk Estates,Dorchester,02124,22,4,18,0.0,0.0,0.0,22,4,18.0,Ownership/Rental,Private,,,"Franklin Field South, Boston, MA, USA"
Franklin Fld South II - HOME AGAIN,Dorchester,02124,23,1,22,0.0,0.0,0.0,23,1,22.0,Ownership/Rental,Private,,,
Franklin Hill (2-9),Dorchester,02124,365,365,0,0.0,0.0,0.0,365,365,0.0,Rental,Private,,,"2 Franklin Hill Ave, Boston, MA 02124, USA"
Franklin Park Apts,Dorchester,02121,220,220,0,0.0,0.0,0.0,220,220,0.0,Rental,Private,,Y,"132 Seaver St #1527, Boston, MA 02121, United States"
Franklin Park I,Roxbury,02121,270,270,0,0.0,0.0,0.0,270,270,0.0,Rental,Private,,Y,"1 Franklin Park Rd, Boston, MA 02121, United States"
Franklin Park II,Roxbury,02121,136,136,0,0.0,0.0,0.0,136,136,0.0,Rental,Private,,,"1 Franklin Park Rd, Boston, MA 02121, United States"
Franklin Square House,South End,02118,193,193,0,0.0,0.0,0.0,193,193,0.0,Rental,Private,Y,Y,"1575 Tremont St, Boston, MA 02120, United States"
Frederick Douglass (2-44A),South End,02118,76,76,0,0.0,0.0,0.0,76,76,0.0,Rental,Public,Y,,"755 Tremont St, Boston, MA 02118, United States"
